Dates Flux Corrflux Xpos Ypos
2229.251823 2435743.835742 1.0659337946997862 7.655568 6.389323
2229.252504 2431301.834549 1.0630971716517545 7.657524 6.378125
2229.253185 2439646.629693 1.0647904056612991 7.648156 6.375128
2229.253866 2440793.108154 1.067373892542963 7.650243 6.39065
2229.255228 2439430.21996 1.0670998518156931 7.651718 6.391269
2229.255909 2438496.822426 1.065290594236956 7.650466 6.380536
2229.25659 2445522.125243 1.0672983765418529 7.644397 6.380497
2229.257271 2439898.651808 1.067136785726182 7.650922 6.390987
2229.258633 2440700.699782 1.0626180815113773 7.644381 6.35757
2229.259314 2443452.511336 1.0660183187482157 7.64571 6.375074
2229.259996 2442117.321753 1.0606786582781886 7.640621 6.340941
2229.260677 2448005.603303 1.06486824731555 7.638785 6.358117
2229.261358 2444628.422434 1.067370968459258 7.645993 6.382149
2229.262039 2447270.85378 1.0621198987772642 7.636333 6.340685
2229.26272 2445580.022596 1.0633916842646112 7.639919 6.352638
2229.263401 2451850.837026 1.0638436350932778 7.634989 6.34049
2229.264082 2459981.186531 1.0697466560091637 7.632233 6.365461
2229.264763 2450306.244225 1.0631131431644607 7.635799 6.3387
2229.265444 2449256.949757 1.0610449712754426 7.635302 6.325487
2229.266125 2453364.220369 1.0654079853507146 7.636388 6.3462
2229.266806 2459010.008918 1.0652301935006891 7.629225 6.334639
2229.267488 2453656.90508 1.0633516383013857 7.632794 6.332867
2229.268169 2452834.661403 1.062487809520905 7.632727 6.328586
2229.269531 2458231.039576 1.0634538697697247 7.627108 6.325574
2229.270212 2458977.361541 1.0623786109167568 7.62476 6.317272
2229.270893 2456455.343984 1.0586557210263081 7.622937 6.29766
2229.271574 2454328.90625 1.0607393199613333 7.627962 6.31543
2229.272255 2459236.305408 1.0618242600141545 7.62371 6.313224
2229.272936 2460839.724838 1.0578053096346551 7.616899 6.283884
2229.273617 2457773.462445 1.0598144337745659 7.622461 6.303428
2229.274298 2460898.362941 1.0599700958503915 7.619323 6.298212
2229.274979 2467187.072702 1.05939654435113 7.611696 6.282431
2229.275661 2461114.197318 1.0604038037587236 7.619548 6.300751
2229.276342 2462966.70612 1.0570729209179095 7.613583 6.275169
2229.277023 2459731.216935 1.0548722175080125 7.614281 6.267224
2229.277704 2465744.712935 1.0574812238882714 7.610705 6.273065
2229.278385 2471193.789049 1.0591086620297487 7.607529 6.27207
2229.279066 2467215.246751 1.0580346889880514 7.609963 6.273575
2229.279747 2466158.732374 1.055045208757042 7.607554 6.256006
2229.280428 2470589.71413 1.0569866216233372 7.605603 6.259439
2229.281109 2470171.175114 1.054125175201215 7.602344 6.242009
2229.28179 2474037.927727 1.0549015122897445 7.599368 6.239328
2229.282471 2470809.90583 1.0543774768580394 7.602276 6.241945
2229.283152 2469467.240971 1.0551418609774683 7.604575 6.249587
2229.283834 2477133.335544 1.055123167049881 7.596512 6.23458
2229.284515 2475178.721024 1.0504225865475711 7.592973 6.207528
2229.285196 2476428.018191 1.0558177128904023 7.598051 6.240523
2229.285877 2474133.765462 1.0533815601334284 7.597601 6.228979
2229.286558 2482299.528777 1.0545782483984554 7.59061 6.220766
2229.287239 2472377.726441 1.0510291798914764 7.596584 6.217052
2229.28792 2484773.015041 1.0526635790144492 7.585378 6.203944
2229.288601 2477537.518717 1.0513118743943342 7.591496 6.208892
2229.289282 2477730.806415 1.0489665359540548 7.588587 6.192868
2229.289963 2483002.962961 1.0530603615020082 7.588042 6.209475
2229.290644 2483101.505212 1.0511578207733079 7.585502 6.196989
2229.292007 2481043.770319 1.0497772502413494 7.585854 6.192108
2229.292688 2485794.793094 1.0526064012097267 7.584506 6.201159
2229.293369 2485642.957884 1.0497258008066739 7.580696 6.183146
2229.29405 2484770.56593 1.0503242492696119 7.582713 6.188252
2229.294731 2493708.65238 1.0526487760389724 7.575958 6.186425
2229.295412 2490016.688004 1.052290248253276 7.579684 6.190844
2229.296093 2487937.841989 1.0470238595389236 7.575057 6.160328
2229.296774 2489728.807486 1.051066858139904 7.578073 6.183959
2229.297455 2497196.592635 1.0525044554522283 7.572183 6.178484
2229.298136 2492990.681014 1.05071110741944 7.574494 6.174695
2229.298817 2498617.901982 1.0526881299540978 7.570673 6.177273
2229.299498 2497570.325766 1.0508250038377294 7.569568 6.166716
